num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,67.66404312500526,68.60708495866517,['lshift'],[2.8233339579965104],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,70.53261575000215,71.49674212566994,['rshift'],[2.558058123999217],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,73.13399341700278,74.09675387567064,['lshift'],[2.3239182489996892],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,75.50256220900337,76.47362529166664,['rshift'],[2.599969625007361],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,78.1491967500042,79.11413137567094,['lshift'],[3.201085000000603],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,81.39545666699996,82.36155145866748,['rshift'],[2.8730974570062244],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,84.31675974999962,85.28052587566732,['lshift'],[3.026188624004135],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,87.38691025000298,88.3473455836686,['rshift'],[2.604242374000023],,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,105.12286895899888,lshift,1,-0.4475340839999262,,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,rshift,1,jeans,sweatpants,sweatpants,jeans,None,,,,,,,,,,0,1,1,18,,,,,,,,,,,,,,,,,105.14461558400217,None,0,,106.1290175006691,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,rshift,1,jug,cat,jug,cat,None,,,,,,,,,,0,2,2,41,,,,,,,,,,,,,,,,,110.17187583399937,lshift,0,3.192526540995459,111.12285233366516,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,rshift,1,bag,bottle,bag,bottle,None,,,,,,,,,,0,3,3,29,,,,,,,,,,,,,,,,,113.41197237500455,lshift,0,3.2195916660057264,114.37837229166713,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,,,,,116.67589687500003,lshift,1,2.6887926240015076,117.6473612506709,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,rshift,1,armchair,dog,armchair,dog,None,,,,,,,,,,0,5,5,31,,,,,,,,,,,,,,,,,119.42173750000075,lshift,0,2.257144708004489,120.3734124166697,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,rshift,1,burger,donut,donut,burger,None,,,,,,,,,,0,6,6,22,,,,,,,,,,,,,,,,,121.72880987499957,rshift,1,2.378042041003937,122.68997437566965,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,rshift,1,donut,mashedpotatoes,mashedpotatoes,donut,None,,,,,,,,,,0,7,7,16,,,,,,,,,,,,,,,,,124.15716337499907,rshift,1,2.2868435000054887,125.11462845866869,,,,,,,,,AJ,001,2023-04-05_13h35.33.691,exp_g1,2022.2.5,None,
